date,horse_no,plc,horse,jockey,trainer,actual_wt,declar_horse_wt,draw,lbw,running_position,finish_time,win_odds
2015/09/23,11,2,神舟小子(T163),莫雷拉,徐雨石,117,1070,4,2-1/2,7 7 2,1.10.57,2.7
2015/09/23,9,3,得利多(T312),潘頓,高伯新,121,1085,1,3,6 5 3,1.10.65,18
2015/10/10,1,2,執子之手(P185),莫雷拉,呂健威,133,1185,3,3/4,5 5 2,1.09.53,2.1
2015/10/10,2,3,快快贏(N218),潘頓,方嘉柏,133,1105,7,1,3 3 3,1.09.56,4.4
2015/09/23,2,6,上進(T038),柏寶,方嘉柏,128,1156,3,2,5 4 3 6,1.41.19,6.2
2015/09/23,10,7,過關勇將(L342),霍勵賢,鄭俊偉,116,1087,5,2-3/4,8 7 7 7,1.41.31,5.7
2015/10/10,10,4,美麗皇者(T189),楊明綸,告東尼,116,1094,1,2-1/2,7 6 4,1.09.76,47
2015/10/10,5,5,手到拿來(P396),湯智傑,容天鵬,122,1135,8,3-1/2,1 1 5,1.09.91,59
2015/09/28,5,10,日威夜威(S362),柏寶,蘇偉賢,125,1164,1,3-1/2,8 4 3 10,1.22.73,2.7
2015/09/28,1,11,川河猛駒(P412),羅理雅,蔡約翰,131,1075,12,5-1/4,1 1 1 11,1.23.03,96
2015/09/23,10,8,強中堅(N177),楊明綸,孫達志,115,1077,10,4-1/2,12 12 12 8,1.41.78,23
2015/09/23,6,9,友瑩養(S102),吳嘉晉,葉楚航,114,1114,6,5,2 2 3 9,1.41.87,7.2
2015/10/10,10,12,盈如奇貓(T238),何澤堯,方嘉柏,117,1131,11,8,13 13 14 12,1.22.19,99
2015/10/10,11,13,天時駿駒(P134),黃皓楠,容天鵬,108,1181,3,12-1/2,2 1 2 13,1.22.91,13
2015/09/23,7,4,金筷子(P120),梁家俊,李易達,120,1158,9,4,9 9 4,1.10.82,19
2015/09/23,12,5,錢照收(S319),史卓豐,沈集成,117,1157,10,4-1/2,5 6 5,1.10.88,8.7
2015/09/16,6,1,香港興旺(N253),黃皓楠,葉楚航,112,1049,3,-,1 1 1 1,1.40.44,8.4
2015/09/19,10,1,相中有你(S300),蘇狄雄,葉楚航,113,1168,1,-,4 3 3 1,1.22.93,30
2015/10/10,9,4,皇仁勁駒(L282),韋達,鄭俊偉,123,1187,9,2,9 8 4,1.09.70,9.6
2015/10/10,10,5,草原威龍(S201),巫斯義,葉楚航,122,1172,12,2,11 10 5,1.09.72,17
2015/09/23,6,8,千真萬確(S328),賴維銘,姚本輝,123,1031,4,3-3/4,7 8 8 8,1.41.44,36
2015/09/23,1,9,怡德(T055),韋達,霍利時,133,1014,1,4,2 2 2 9,1.41.51,4.5
2015/10/10,1,6,大寶藏(N436),黃皓楠,葉楚航,123,1139,9,3-3/4,10 10 6,1.09.94,80
2015/10/10,2,7,紅海灣(T159),巫斯義,文家良,128,1058,2,4-3/4,12 11 7,1.10.12,32
2015/09/28,14,12,萬馬奔騰(S142),梁家俊,姚本輝,116,1081,8,5-1/2,3 6 7 12,1.23.06,90
2015/09/28,7,13,慣勝福星(N300),蘇狄雄,蔡約翰,119,1132,9,12-1/2,4 8 6 13,1.24.16,55
2015/09/23,4,10,蓮花巨星(T145),柏寶,容天鵬,123,1048,12,5,8 9 10 10,1.41.89,36
2015/09/23,7,11,常開心(N427),蘇狄雄,文家良,117,1016,3,6-1/4,6 7 8 11,1.42.06,98
